worker_id,gender,age,party,voting_for,state,title,source,candidate,flesch,is_complex,fair,trust
22345789,female,50-64,independent_other,John Kasich,MI,The Latest: Sanders says Trump campaign based on division,CNN,sanders,8,0,1,1
22345789,female,50-64,independent_other,John Kasich,MI,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,CNN,clinton,7.5,0,2,2
22345789,female,50-64,independent_other,John Kasich,MI,Trump not backing down from Fox debate boycott,CNN,trump,11.7,1,1,0
22345789,female,50-64,independent_other,John Kasich,MI,The Latest: Bible prominent in Final Cruz Pitches to Voters,CNN,cruz,7.9,0,1,1
22345789,female,50-64,independent_other,John Kasich,MI,FACT CHECK: Audio refutes Trump's claim on China tariff,CNN,trump,5.8,0,1,1
22345789,female,50-64,independent_other,John Kasich,MI,"Clinton Allies Forming Group to Protect, Register Voters",CNN,clinton,14.2,1,1,1
32953604,female,30-49,democrat,Hillary Clinton,NY,Cruz Looks to Shore Up Support Among Iowa Evangelicals,CNN,cruz,11.8,1,1,1
32953604,female,30-49,democrat,Hillary Clinton,NY,"Sanders tours Roosevelt site, says Bation can learn from FDR",CNN,sanders,14.1,1,1,1
32953604,female,30-49,democrat,Hillary Clinton,NY,The Latest: Sanders says Trump campaign based on division,CNN,sanders,8,0,1,1
32953604,female,30-49,democrat,Hillary Clinton,NY,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,CNN,clinton,7.5,0,1,1
32953604,female,30-49,democrat,Hillary Clinton,NY,Trump not backing down from Fox debate boycott,CNN,trump,11.7,1,1,1
32953604,female,30-49,democrat,Hillary Clinton,NY,The Latest: Bible prominent in Final Cruz Pitches to Voters,CNN,cruz,7.9,0,1,1
32953604,female,30-49,democrat,Hillary Clinton,NY,FACT CHECK: Audio refutes Trump's claim on China tariff,CNN,trump,5.8,0,1,1
32953604,female,30-49,democrat,Hillary Clinton,NY,"Clinton Allies Forming Group to Protect, Register Voters",CNN,clinton,14.2,1,1,1
36624282,male,30-49,no_affiliation,Not Voting,NY,Cruz Looks to Shore Up Support Among Iowa Evangelicals,Fox News,cruz,11.8,1,1,1
36624282,male,30-49,no_affiliation,Not Voting,NY,"Sanders tours Roosevelt site, says Bation can learn from FDR",Fox News,sanders,14.1,1,1,0
36624282,male,30-49,no_affiliation,Not Voting,NY,The Latest: Sanders says Trump campaign based on division,Fox News,sanders,8,0,0,2
