  57 ,2016-01-17 18:24:55
  57 , pressure on Trump"
  55 ,2016-03-23 16:19:29
  55 ,2016-02-03 22:48:00
  55 ,2016-01-29 07:36:47
  55 , ugly relationship"
  54 ,2016-01-15 14:09:00
  54 , NH - Trump criticized for campaign ad showing &lsquo;southern border&rsquo; using footage of Morocco - CAMPAIGN 2016 LIVE BLOG"
  53 ,2016-03-22 19:44:14
  53 ,2016-02-04 22:06:53
  53 ,2016-01-29 14:43:00
  53 ,2016-01-28 00:48:29
  53 ,2016-01-16 16:10:53
  52 ,2016-03-06 15:36:47
  52 ,2016-02-19 06:30:42
  52 ,2016-02-03 17:01:32
  52 ,2016-01-31 23:02:12
  51 ,2016-02-02 18:32:31
  51 ,2016-01-18 05:44:58
  50 ,2016-03-14 19:34:48
  50 ,2016-03-10 16:31:27
  50 ,2016-02-04 00:29:23
  50 , releases his mother's birth certificate"
  49 ,2016-04-01 01:49:05
  49 ,2016-02-12 20:26:29
  48 ,2016-02-18 13:39:50
  48 ,2016-01-28 16:23:25
  46 ,2016-03-07 19:04:54
  46 ,2016-02-25 21:00:46
  46 ,2016-02-23 16:39:16
  46 ,2016-02-15 10:45:22
  46 ,2016-01-21 22:57:26
  46 ,2016-01-05 15:05:59
  45 ,2016-03-26 01:23:53
  45 ,2016-01-22 18:29:32
  45 ,2016-01-04 15:46:47
  44 ,2016-04-13 22:50:22
  44 ,2016-04-09 23:31:38
  44 ,2016-03-22 23:28:20
  44 ,2016-03-11 12:53:11
  44 ,2016-03-06 01:27:17
  44 ,2016-02-27 21:09:05
  44 ,2016-01-25 15:37:16
  44 , eligible for the presidency? Legal experts say yes"
  43 ,2016-02-26 15:47:22
  43 ,2016-01-24 18:59:34
  43 ,2016-01-23 22:04:44
  43 ,2016-01-20 16:02:40
  42 ,2016-04-27 13:23:10
  42 ,2016-03-23 11:30:16
  42 ,2016-02-06 02:40:40
  42 ,2016-01-25 17:15:54
  42 ,2016-01-24 14:19:58
  42 ,2016-01-24 12:01:45
  42 ,2016-01-04 18:28:31
  42 , non-criminals"
  41 ,2016-04-26 00:15:45
  41 ,2016-02-25 01:39:34
  41 ,2016-02-21 08:41:11
  41 ,2016-01-29 10:32:39
