,url,title,sentiment_mean,num_tweets
45499,https://www.washingtonpost.com/opinions/donald-trump-wrecks-the-gop-by-driving-the-campaign-conversation/2016/02/21/b4b6c5b2-d8d4-11e5-925f-1d10062cc82d_story.html,Donald Trump wrecks the GOP by driving the campaign conversation,-0.138888895512,36
45547,http://www.huffingtonpost.com/2016/01/14/republican-debate-live-updates_n_8984244.html,Read Live Updates From The Fox Business Republican Debate,0.0,32
45574,http://blogs.wsj.com/washwire/2016/01/15/houston-trial-lawyer-files-lawsuit-on-ted-cruzs-presidential-eligibility/,Houston Trial Lawyer Files Lawsuit on Ted Cruz’s Presidential Eligibility,-0.5,16
45721,http://www.wsj.com/articles/a-myopic-shift-toward-trump-1453853916,A Myopic Shift Toward Trump,-0.592592597008,27
45807,http://www.politico.com/story/2016/01/nyt-endorses-clinton-kasich-218444,"The New York Times endorses Clinton, Kasich",0.933333337307,15
45871,https://www.buzzfeed.com/rosiegray/cruz-and-kasich-announce-theyre-making-a-deal-to-stop-trump,Cruz And Kasich Announce They're Making A Deal To Stop Trump,0.0,30
46101,https://www.washingtonpost.com/blogs/plum-line/wp/2016/03/21/hillary-clinton-gets-to-donald-trumps-right-on-israel/,Hillary Clinton gets to Donald Trump's right on Israel,0.0270270276815,37
46230,http://www.huffingtonpost.com/andy-ostroy/the-reason-why-trump-draws-huge-crowds_b_8913718.html,The Reason Why Trump Draws Huge Crowds,-0.0588235296309,17
46232,http://www.huffingtonpost.com/dan-arel/chelsea-clinton-is-lying-_b_9001744.html,The Clinton Campaign Has Resorted to Lies to Beat Sanders,-0.0666666701436,15
46258,http://www.wsj.com/articles/obamacares-1-200-pay-cut-1452643649,"ObamaCare's $1,200 Pay Cut",0.20000000298,10
46395,http://www.huffingtonpost.com/armand-wolf/why-i-a-liberal-democrat-_b_9001266.html,"Why I, a Liberal Democrat, Would Rather Vote for Donald Trump than Hillary Clinton",0.047619048506,21
46476,https://www.washingtonpost.com/opinions/more-ambition-than-pride/2016/02/29/27ef61ec-df10-11e5-846c-10191d1fc4ec_story.html,Rubio joins Trump in the sandbox,-0.148148149252,27
46511,http://www.latimes.com/politics/la-obama-trump-20160113-story.html,How Obama took on Trump during his State of the Union address,0.0588235296309,17
46570,https://www.washingtonpost.com/opinions/trump-the-authoritarians-candidate-of-choice/2016/03/04/2840f798-e15c-11e5-9c36-e1902f6b6571_story.html,Trump: The authoritarian’s candidate of choice,0.0454545468092,22
46591,http://www.huffingtonpost.com/michael-sainato/america-needs-a-first-lad_b_9065150.html,America Needs a First Lady Who Actually Represents Them,0.0769230797887,13
46628,http://www.huffingtonpost.com/jim-wallis/bridges-or-walls_b_9266400.html,Bridges or Walls?,-0.333333343267,21
46699,https://www.washingtonpost.com/news/the-fix/wp/2016/03/08/both-marco-rubio-and-ted-cruz-lead-donald-trump-in-one-on-one-matchups/,Both Marco Rubio and Ted Cruz lead Donald Trump in one-on-one matchups,0.0909090936184,11
46778,https://www.washingtonpost.com/news/post-politics/wp/2016/03/25/cruz-national-enquirer-story-is-garbage-from-donald-trump-and-his-henchmen/,Cruz: National Enquirer story is 'garbage' from Donald Trump and his henchmen',0.0,31
46828,https://www.washingtonpost.com/politics/marco-rubio-mocks-and-spars-with-donald-trump-in-houston-debate/2016/02/25/ac475b2c-dc07-11e5-891a-4ed04f4213e8_story.html,Marco Rubio mocks and spars with Donald Trump in Houston debate,0.0,14
46881,https://www.washingtonpost.com/opinions/whos-leading-a-voter-revolution-hint-its-not-bernie-sanders/2016/02/22/e9072ab2-d9a8-11e5-81ae-7491b9b9e7df_story.html,Who’s leading a voter revolution? Hint: It’s not Bernie Sanders.,1.0,15
46994,http://www.cnn.com/2016/01/09/politics/michael-bloomberg-2016-president-campaign/index.html,"Bloomberg commissioned poll to test 2016 waters, source says",0.300000011921,10
47023,https://www.washingtonpost.com/blogs/compost/wp/2016/01/20/sarah-palin-endorsed-donald-trump-because-2016-is-the-year-elections-became-reality-tv/,Sarah Palin endorsed Donald Trump. Because 2016 is the year elections became reality TV.,0.20000000298,10
47054,http://www.huffingtonpost.com/kirby-goidel/trumping-political-scienc_b_9125352.html,Trumping Political Science? Lessons from Donald Trump's Surprising Campaign,0.692307710648,13
47153,http://www.foxnews.com/politics/2016/01/31/clinton-defends-emails-sanders-touts-turnout-middle-class-message.html,"&lsquo;WE HAVE A SHOT&rsquo; Sanders confident he can win Iowa,  as Clinton defends private emails",1.0,13
47194,http://www.huffingtonpost.com/mary-ellen-harte/gop-reaps-what-it-sows-do_b_9439120.html,GOP Reaps What It Sows: Donald Trump,0.0,30
47523,http://www.politico.com/story/2016/01/charles-koch-2016-presidential-race-217499,Charles Koch bemoans lack of influence over 2016 race,-0.315789461136,19
47560,https://www.washingtonpost.com/opinions/americas-self-destructive-whites/2015/12/31/5017f958-afdc-11e5-9ab0-884d1cc4b33e_story.html,America’s self-destructive whites,-0.368421047926,19
47726,https://www.washingtonpost.com/news/powerpost/paloma/daily-202/2016/03/22/daily-202-donald-trump-flips-the-script-on-foreign-policy/56f08933981b92a22da5720d/,The Daily 202: Donald Trump flips the script on foreign policy,0.0,18
47896,http://www.politico.com/story/2016/01/obama-bernie-sanders-guns-217487,Obama's 2016 gun terms might leave Sanders without White House support,-0.0666666701436,30
48054,http://www.huffingtonpost.com/eric-boehlert/trumps-humiliating-fox-ne_b_9098188.html,Trump's Humiliating Fox News--Here's What It Means,-1.0,14
48066,https://www.washingtonpost.com/news/acts-of-faith/wp/2016/02/22/why-donald-trumps-glitzy-style-is-attracting-evangelical-voters/,Why Donald Trump's glitzy style is attracting evangelical voters,0.424242436886,33
