author,follower_ct,friends_count,favourites_count,verified
111420429,880,444,278,False
2866174637,275,292,0,False
4048444078,1126,521,6152,False
452188848,148,51,13268,False
26860209,52339,1849,22,False
178491943,3215,3214,131,False
30049463,1124,1846,153,False
3374373557,224,502,2450,False
474077878,259,995,103,False
1179605690,367,63,10992,False
309680827,9001,1953,9364,True
16636604,4049,3054,2270,True
16669373,244,111,116,False
16145086,218770,4367,38,False
51176565,2833,587,515,False
207174091,161,148,0,False
17238370,4476,867,379,False
327211717,752,823,14228,False
21924525,24753,1526,801,True
15710668,1239,1105,153,False
54909643,270,273,448,False
2329448226,621,449,113,False
28302031,3934,494,634,False
15063760,137,206,0,False
535681746,11052,10602,72,False
59603406,38173,340,10405,True
33446614,595,1003,187,False
44260055,2394,2655,8908,False
27843289,291,335,5558,False
261839578,2947,988,2579,False
4780907232,51,107,83,False
21674448,37106,4255,4031,False
417553124,4343,1451,1991,False
30300903,142,95,169,False
1345739496,333,191,1750,False
122084073,57983,911,734,False
94231274,1094,1844,15118,False
636443371,821,1244,6828,False
16518302,4496,4601,7080,False
183753455,4922,3786,119545,False
31218419,847,168,254,False
2955473880,3035,3760,1792,False
324459253,391,419,7031,False
256236278,219,1264,258,False
15191849,465,303,11304,False
289364729,119,41,8,False
17881850,2553,2458,118,False
1587665659,716,889,2980,False
132537084,1303,1381,1391,True
2455886589,178,379,166,False
30235390,125,256,6,False
2677988095,827,1390,198,False
19618562,959,2683,6934,False
86970155,1636,421,17,True
41802500,36,77,1,False
940112342,7,16,10,False
127884040,1413,792,696,True
21388041,1942,2000,4635,False
179428106,2025,1741,92,False
332347863,105,70,20,False
4240300812,,,,
23812877,2648,3012,4,False
261918509,1280,1096,1606,False
24590808,419,609,663,False
491404298,,,,
14408469,1173,395,4103,False
225237782,493,1352,283,False
127261463,756,1983,16,False
3412286232,31,197,211,False
716823321,2437,3436,5998,False
316791579,675,2513,1838,False
795781,830,1923,90,False
11262752,1975,928,7309,False
121396001,94,20,72,False
28793634,38,48,5,False
3111770915,12,5,18,False
57039652,3589,3725,137,False
29270341,3304,2912,16136,False
18602791,694,2040,1482,False
83450665,270,365,17,False
22977794,69,168,12,False
30262451,460,344,17092,False
1066855388,1572,1301,27999,False
23110912,1144,1130,9158,False
33119023,1257,4051,1522,False
57334576,661,1123,13,False
190929713,696,461,100,False
176905010,2240,1495,202,False
336264152,760,413,295,False
163011383,111,177,11,False
24009528,4539,4992,54,False
263412537,212,724,1458,False
3846093279,1120,1098,26791,False
194351775,5277,2091,4215,True
959898762,27,123,76,False
23059262,2106,2169,421,False
306927718,,,,
58612544,227,281,63,False
474438465,774,1666,35,False
231950682,3021,1083,1556,False
19880772,904,2102,212,False
354933574,48316,131,62,True
2884852551,5637,5637,9870,False
28681356,3112,2894,6555,False
1209654090,150,103,1473,False
968473646,122,481,645,False
33971020,41849,14779,7961,True
128277810,29,114,7,False
16014161,30,386,7,False
968186706,831,2212,11,False
244817600,799,1138,278,False
250305365,3141,2623,935,True
62774102,3081,272,40,False
2329607676,,,,
3302683475,110,180,117,False
235133788,4347,3153,2050,False
22567773,124,19,2,False
221460965,111,381,4,False
26467168,348,1975,714,False
314858337,2469,4264,244,False
3024468454,,,,
24730470,1664,1045,85,False
3317048465,299,1004,223,False
973527912,638,627,1,False
16158524,200,387,127,False
821713771,136,322,20,False
37903212,126,364,11,False
429958290,647,951,7546,False
17849198,612,425,66,False
14179184,50,35,68,False
973681,7279,417,116,False
216802451,7485,6273,31300,False
18844286,3962,3772,6019,False
80436085,1269,1265,6823,False
494421276,2503,4878,7191,False
58339140,1400,2235,4,False
30268282,184,667,235,False
21322619,3,110,33,False
16445201,11,12,2,False
973546645,510,872,0,False
2191481728,4228,4232,7967,False
21027715,18259,1016,169,True
1556831108,621,1688,5,False
21450106,232,123,22,False
12770182,343,839,2887,False
292083207,5256,1066,1027,False
93707145,251,250,168,False
4739095434,427,452,22,False
21977995,896,609,652,False
112253837,238,813,1313,False
1959222158,14,61,9,False
515136400,2783,2763,3294,False
20729667,3773,2430,47732,False
4034685058,3700,5001,746,False
1470250544,1411,449,808,True
404376859,134,189,126,False
231546220,666,784,53,False
3654911176,3487,434,31914,False
15195038,8299,6586,593,False
229986117,224,825,968,False
39822664,1110,2097,138,False
2154191777,346,212,155,False
378821538,630,917,211,False
140125339,531,899,2114,False
54320038,11290,52,197,False
3731479463,32,3,15,False
317868355,473,736,1473,False
17917084,112,432,369,False
450937658,1937,1908,0,False
3079986094,37929,926,5306,True
2796903343,1224,1543,1292,False
235199409,5674,1031,3172,False
1016814516,55,82,8627,False
118938550,5590,2191,2299,False
15948728,2691,1842,1411,False
817652,8997,4,1,False
82664381,1819,1942,1313,False
298900414,257,680,764,False
17357759,2529,4100,3334,False
18856438,351,1090,334,False
202726343,6889,1403,279,False
2547568460,18,11,0,False
59202507,296,631,89,False
15752141,272,66,9,False
157277134,1050,0,0,False
18714445,854,1340,75,False
556522451,1561,990,729,False
90646509,475,20,334,False
82795478,1692,1241,107803,False
60939225,51,96,25,False
17259482,1545,976,1739,False
55073755,1203,2806,36721,False
3405633784,1107,1116,2754,False
1563319262,49,111,0,False
811795651,198,506,7184,False
18614632,836,71,72,False
352532987,4363,4164,8826,False
755031012,767,368,4915,False
117234661,129,256,1797,False
374021623,764,2513,11446,False
872242152,185,679,5058,False
89349098,2499,3021,15,False
17882093,6837,666,29572,False
17980398,380,381,4574,False
47537136,88,235,71,False
2355223537,168,373,25,False
112002839,96,325,42,False
1081478995,89,88,6055,False
430749539,4207,4136,6877,False
21584887,1659,2031,5722,False
4321434617,,,,
24899281,319,315,848,False
384858477,18,67,13,False
537433628,1304,726,14363,False
25779199,61,139,22,False
2693618689,2034,1958,21898,False
568712194,2296,983,8758,False
34364421,8698,770,233,False
3304995329,25,147,1,False
18013192,79,0,0,False
239098890,128,6,1892,False
3356482571,21,0,0,False
3233745883,396,939,1,False
35216399,64835,35004,176305,False
31415312,703,938,342,False
826072081,1225,1757,58657,False
15064082,1486,1054,788,False
27383785,89,220,55,False
237593267,790,735,15542,False
36232215,21575,13354,183,True
31054874,549,494,208,False
2865159195,630,87,328,False
1235373914,835,553,26189,False
50388000,105,591,14,False
15267611,2219,1198,3953,False
373152803,133,164,319,False
41442340,2432,1435,964,False
243031077,4114,2321,1332,False
15359014,1832,2016,130,False
2787512156,1797,1595,395,False
3442662443,,,,
20831276,1126,1823,7465,False
25910317,227,259,182,False
18766894,4064,932,3537,True
3886616413,312,500,242,False
254237744,1177,960,557,False
4408175009,84,101,617,False
20405298,566,2345,115,False
48880692,1464,1503,29460,False
3337804853,31490,1538,2007,False
915594294,49399,38417,12977,False
308031170,120,372,47,False
294181945,1646,1239,263,False
32169019,2168,1008,5162,False
1049557712,127,224,295,False
748477502,6943,5588,7890,False
1423531074,368,86,594,False
254401603,293,395,166,False
36822085,1454,1953,445,False
3256966215,257,249,10,False
1160445668,4134,3563,30,False
2600842433,28,33,9,False
1015873183,373,189,455,False
467262541,15,56,2,False
16336095,1438,634,46,False
22641165,8084,2006,2948,True
91399352,209,662,550,False
17783890,390,1219,11195,False
338779219,10486,721,3286,True
19061844,5607,5539,3942,False
268025978,176,138,3029,False
14769239,5735,2422,3921,True
2891603032,313,865,298,False
210721882,4956,4507,183,False
319337461,1914,1426,6312,False
32988252,43,68,1149,False
22666333,2205,2676,7826,False
102554718,525,181,557,False
3889794917,6,0,0,False
20110434,1050,497,68,False
51928163,1301,332,1527,False
99146852,1917,2131,163,False
3311754342,2454,2753,17568,False
21060711,1395,2428,323,False
36297832,10759,9873,1108,False
16211049,1015,1496,959,False
2666945642,1226,1066,858,True
42261611,1930,1508,5167,False
102227053,5685,5938,12,False
3169391,947,1173,300,False
3631111281,1280,4,0,False
21585010,94,670,655,False
181041683,1745,2114,6970,False
1703123755,,,,
18111605,760,520,1547,False
80370806,556,890,184,False
2270616696,2504,2016,17571,False
48486244,27717,8859,362,False
21421178,3267,2750,1538,False
53601471,2136,1235,642,False
349330556,177,703,145,False
199875709,8854,2574,3079,False
1613651070,1245,1183,678,False
4516755989,163,270,232,False
67099778,327,787,2135,False
860576899,65,104,119,False
16178311,44,160,10,False
2974060396,4204,3440,9444,False
20995210,365,397,2223,False
605576332,3739,874,82343,False
16637070,865,871,5100,False
29121680,735,1440,9261,False
51207313,1294,1653,1711,True
56745107,2568,805,13,False
1703664788,571,585,0,False
66714137,94,440,30,False
1249565850,13,30,17,False
891706524,87555,44,458,False
25365199,,,,
23649442,569,327,41,False
182836388,25,138,1068,False
17620133,4956,700,0,False
16912241,12723,9560,850,False
226647209,723,2030,130,False
25222314,92,264,74,False
1695197929,1972,2005,43,False
123107111,38,135,25,False
19749153,347,331,4065,False
23485619,1703,1188,5551,False
117071028,99,57,34,False
194902558,410,490,95,False
3225642185,393,389,1553,False
119495864,1955,2113,2208,False
16014522,3070,2569,32165,False
980641,773,353,9389,False
54395257,3819,4206,6940,False
4119741,1371891,1520,3287,True
1710546110,41,0,0,False
354307957,126,187,1799,False
35937472,2352,1430,728,False
2347547168,725,1307,1861,False
17603992,61,178,234,False
38788291,326,651,288,False
820317835,457,1017,33469,False
251944136,886,1268,1824,True
256199223,7338,1543,65571,False
926670026,16,25,19,False
79125708,85,42,0,False
227727275,334,941,4217,False
744473384,758,1411,2555,False
163503312,63,268,385,False
504978641,46,15,0,False
96001234,1182,2325,568,False
15686868,83,147,33,False
178595022,9252,10083,15184,False
13524182,202341,8280,1473,True
262836089,94,171,10,False
1321688280,134,327,3536,False
1137881,8230,1742,11371,False
3328269530,180,55,0,False
4870167773,418,500,1747,False
2566491481,476,420,1532,False
279840739,2562,241,238,False
52124896,3179,1826,4788,True
97082594,2987,1693,867,False
2292076411,1960,1585,7808,False
41180390,1431,2054,6541,False
350577873,90,169,664,False
283565288,252,311,124,False
19848425,6938,4285,29898,False
12901612,635,673,126,False
14933230,962,1813,3,False
211967215,388,918,3,False
65494257,5023,820,948,True
225959154,67,177,688,False
20112051,1168,1468,3910,False
114711796,4735,4642,21106,False
