,tid,url
425641,703451631866789888,http://adage.com/article/campaign-trail/bernie-sanders-campaign-buys-sponsored-story-politico-ad/302874/?utm_source=Media&utm_medium=feed&utm_campaign=Feed:+AdvertisingAge/Media&utm_source=twitterfeed&utm_medium=twitter
1315115,704830087728910337,http://bigstory.ap.org/urn:publicid:ap.org:dc106656a7834e0da5fd60db806c103b
552325,696804668911984641,http://bigstory.ap.org/urn:publicid:ap.org:e0552cc159b445c599c5b4e7e9b5687f
892488,700815880477761536,http://blogs.wsj.com/washwire/2016/02/19/under-any-2016-election-outcome-obamacare-challenges-remain-daunting/
94343,717566853208477696,http://edition.cnn.com/videos/politics/2016/04/02/donald-trump-heidi-cruz-photo-mistake-nr.cnn/video/playlists/race-to-2016/
1413386,706486063049498624,http://feeds.huffingtonpost.com/c/35496/f/677045/s/4e113763/sc/7/l/0L0Shuffingtonpost0N0Csteve0Enelson0Cdonald0Etrump0E0E0Edeath0Eratt0Ib0I93934280Bhtml/story01.htm?utm_source=twitterfeed&utm_medium=twitter
1372074,708297726006468608,http://feeds.huffingtonpost.com/c/35496/f/677086/s/4e31f375/sc/7/l/0L0Shuffingtonpost0N0Cjon0Esoltz0C0Etrumps0Ekryptonite0Emember0Ib0I94374980Bhtml0Dutm0Ihp0Iref0Fpolitics0Gir0FPolitics/story01.htm?utm_source=twitterfeed&utm_medium=twitter
80431,717800310379425792,http://feeds.huffingtonpost.com/c/35496/f/677086/s/4ec49bcf/sc/7/l/0L0Shuffingtonpost0N0C20A160C0A40C0A60Cnew0Eyorkers0Ethank0Etrump0Efor0Emaking0Ethem0Ewant0Eto0Evote0Eagainst0Ehim0In0I96270A70A0Bhtml0Dutm0Ihp0Iref0Fpolitics0Gir0FPolitics/story01.htm?utm_source=twitterfeed&utm_medium=twitter
1369825,708185480781631490,http://feeds.huffingtonpost.com/c/35496/f/677538/s/4e2f2905/sc/7/l/0L0Shuffingtonpost0N0C20A160C0A30C10A0Ctrump0Eviolence0Edebate0In0I94354820Bhtml0Dutm0Ihp0Iref0Fpolitics0Gir0FPolitics/story01.htm?utm_source=twitterfeed&utm_medium=twitter
936526,684240548257898497,http://go.clarionproject.org/numbers-full-film/
1332379,705174006647939072,http://hosted.ap.org/dynamic/stories/U/US_CAMPAIGN_2016_HOW_IT_HAPPENED?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-03-02-17-02-52
1649503,711882963957510144,http://linkis.com/huffingtonpost.com/IZXt1
1556390,709832871905628160,http://radio.foxnews.com/2015/10/07/joel-osteen-trump-is-an-incredible-communicator-a-good-man/
194745,720693362563629056,http://radio.foxnews.com/podcast/5-minute-newscast/
1056738,688492972321591296,http://reuters.us.feedsportal.com/c/35217/f/654230/s/4ceab2be/sc/7/l/0L0Sreuters0N0Cvideo0C20A160C0A10C160Ccruz0Epins0Eblame0Efor0Eelevator0Esnafu0Eon0Etr0DvideoId0F3670A6370A80GfeedType0FVideoRSS0GfeedName0FTopNews0GvideoChannel0F1/story01.htm?utm_source=twitterfeed&utm_medium=twitter&utm_campaign=Feed%3A+reuters%2FUSVideoTopNews+%28Video+%2F+US+%2F+Top+News%29
1215766,688178489653071872,http://rss.nytimes.com/c/34625/f/640350/s/4ce78023/sc/7/l/0L0Snytimes0N0C20A160C0A10C160Cus0Cpolitics0Clooking0Eat0Elater0Eprimaries0Ebernie0Esanders0Eworks0Eto0Estrengthen0Eblack0Esupport0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm?utm_source=twitterfeed&utm_medium=twitter
662549,694040612018913280,http://rss.nytimes.com/c/34625/f/640350/s/4d445568/sc/7/l/0L0Snytimes0N0C20A160C0A20C0A10Cus0Cpolitics0Crival0Efactions0Eof0Etop0Edonors0Eget0Ebehind0Emarco0Erubio0Eand0Eted0Ecruz0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm?utm_medium=twitter&utm_source=twitterfeed
1482131,706616399783788544,http://rss.nytimes.com/c/34625/f/640350/s/4e12ec38/sc/7/l/0L0Snytimes0N0C20A160C0A30C0A70Cus0Cpolitics0Cmichigan0Eprimary0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm?utm_source=twitterfeed&utm_medium=twitter
1503715,707261969380675584,http://rss.nytimes.com/c/34625/f/640350/s/4e1ec3f7/sc/7/l/0L0Snytimes0N0Celections0C20A160Cnational0Eresults0Emap0Dpartner0Frss0Gemc0Frss/story01.htm?utm_source=twitterfeed&utm_medium=twitter
1761467,714878487211823104,http://rss.nytimes.com/c/34625/f/640354/s/4e95e7eb/sc/7/l/0L0Snytimes0N0C20A160C0A30C30A0Cus0Cpolitics0Cconservative0Etalk0Eradio0Etrump0Ecruz0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm?utm_source=twitterfeed&utm_medium=twitter
938975,691385280029327360,http://rss.nytimes.com/c/34625/f/640372/s/4d190b21/sc/7/l/0L0Snytimes0N0Cpolitics0Cfirst0Edraft0C20A160C0A10C240Cdonald0Etrump0Ehears0Ea0Elesson0Ein0Ehumility0Eat0Echurch0C0Dpartner0Frss0Gemc0Frss/story01.htm
1536986,709442212807901185,http://rss.nytimes.com/c/34625/f/642562/s/4e414bd6/sc/7/l/0L0Snytimes0N0C20A160C0A30C150Cus0Cpolitics0Cdonald0Etrump0Esurprise0Eover0Esubstance0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm
1423259,705928813155262464,http://rss.nytimes.com/c/34625/f/667200/s/4e0b67f7/sc/7/l/0L0Snytimes0N0Cpolitics0Cfirst0Edraft0C20A160C0A30C0A40Cben0Ecarsons0Enew0Ejob0Egetting0Echristians0Eto0Evote0C0Dpartner0Frss0Gemc0Frss/story01.htm?utm_source=twitterfeed&utm_medium=twitter
486432,700667850340573184,http://video.foxnews.com/v/4763232704001/bill-donahue-on-unfortunate-exchange-between-pope-trump/
113416,719874091650543616,http://video.foxnews.com/v/4840581622001/trump-the-system-is-rigged-its-crooked/
1046017,688605912529907712,http://www.cnn.com/2016/01/16/politics/bernie-sanders-gun-vote-2005/index.html?eref=rss_topstories
717516,694593160337584128,http://www.cnn.com/2016/02/02/opinions/republican-iowa-results-stanley/index.html
848912,697128044457291776,http://www.cnn.com/2016/02/09/politics/james-clapper-isis-syrian-refugees/index.html
503860,701476582783901697,http://www.cnn.com/2016/02/21/politics/donald-trump-marco-rubio-eligibility/index.html
465485,702317243317690369,http://www.cnn.com/2016/02/23/politics/obama-guantanamo-bay-gop-reaction-2016-election/index.html?eref=rss_topstories
