,tid,url
1084549,684139514730774528,http://rss.nytimes.com/c/34625/f/640372/s/4ca34ca5/sc/7/l/0L0Snytimes0N0Cpolitics0Cfirst0Edraft0C20A160C0A10C0A40Chillary0Eclinton0Etells0Edemocrats0Ein0Eiowa0Ei0Eneed0Eyou0C0Dpartner0Frss0Gemc0Frss/story01.htm
730543,696191828639481856,http://video.foxnews.com/v/4742636113001/donald-trump-gets-personal-on-watters-world/
1473665,708096019653857280,http://www.cnn.com/2015/06/08/politics/john-kasich-2016-lehman-brothers-wall-street/index.html
1038114,684125156021788672,http://www.cnn.com/2016/01/04/politics/donald-trump-morocco-tv-ad/index.html
1004670,685877349670236160,http://www.cnn.com/2016/01/08/politics/donald-trump-muslim-woman-protesting-ejected/index.html
1212281,689651625602981889,http://www.cnn.com/2016/01/19/politics/new-hampshire-cnn-wmur-poll-democrats/
498473,699696223440216064,http://www.cnn.com/2016/02/16/politics/hillary-clinton-bernie-sanders-nevada-strategy/index.html?sr=twCNN021616hillary-clinton-bernie-sanders-nevada-strategy0830PMVODtopPhoto&linkId=21323928
664189,700762812801556480,http://www.cnn.com/2016/02/18/politics/ted-cruz-birther-lawsuit-illinois/index.html?eref=rss_latest
1400686,708165197601452033,http://www.cnn.com/2016/03/10/politics/ted-cruz-super-pac-media-buy-florida/index.html
154302,720011196976345088,http://www.cnn.com/2016/04/12/politics/republican-convention-2016/index.html
1674298,712135685310795777,http://www.cnn.com/videos/us/2016/03/22/bernie-sanders-israel-aipac-the-final-five-election-special-5.cnn/video/playlists/bernie-sanders-2016/
1054570,692878619006271489,http://www.foxnews.com/live-coverage/fox-news-google-gop-debate?intcmp=hpbt3&utm_source=twitterfeed&utm_medium=twitter
643464,702584472978329600,http://www.foxnews.com/opinion/2016/02/24/time-for-trump-to-name-gop-dream-team.html
899409,696142634172182530,http://www.foxnews.com/politics/2016/02/06/trump-returns-to-debate-stage-with-cruz-rubio-posing-bigger-threat.html
913353,699779703213666305,http://www.foxnews.com/politics/2016/02/16/obama-fires-back-at-senate-republicans-in-supreme-court-battle.html?utm_source=twitterfeed&utm_medium=twitter
