,tid,url
540165,695712814451834880,http://www.foxnews.com/on-air/americas-news-hq/index.html
737300,702587735803035649,http://www.huffingtonpost.com/entry/i-tweeted-about-donald-trump_us_56cdd804e4b041136f18fc9a?hk6gvi
1523508,708993189995110400,http://www.huffingtonpost.com/entry/julian-assange-google-hillary-clinton_us_5633acc9e4b0631799123a7d
601083,700126953026818048,http://www.huffingtonpost.com/isaac-saul/i-despise-hillary-clinton-gender_b_9160682.html
134879,718554353439764482,http://www.huffingtonpost.com/john-sanbonmatsu/new-york-bernie-sanders-is_b_9629028.html
77357,717588475101315072,http://www.huffingtonpost.com/richard-zombeck/donald-trump-is-beginning_b_9608654.html
93757,717729527925858304,http://www.huffingtonpost.com/rj-eskow/barney-vs-bernie-sanders_b_9624560.html?utm_medium=twitter&utm_source=twitterfeed
1420237,708291833034625024,http://www.latimes.com/opinion/readersreact/la-le-0310-donald-trump-republicans-20160310-story.html
1364369,708519525197733888,http://www.latimes.com/politics/la-na-donald-trump-protest-analysis-20160311-story.html
1372411,706143775358226434,http://www.npr.org/2016/03/04/469145438/dispatches-from-the-front-in-gop-civil-war-a-romney-drive-by-and-a-debate-in-det?utm_source=twitterfeed&utm_medium=twitter
1352851,706674829433430019,http://www.npr.org/2016/03/06/469420705/reagan-rememberance?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social
1658020,712371189889548288,http://www.npr.org/2016/03/22/471463201/no-the-terrorist-attacks-in-belgium-don-t-mean-donald-trump-will-be-president?utm_medium=twitter&utm_campaign=Feed%3A+npr%2FRIGV+%28NPR+Most+Emailed+Stories%29&utm_source=feedburner
1776940,715263348485427200,http://www.npr.org/2016/03/30/472420387/border-patrol-union-endorses-donald-trump?utm_medium=RSS&utm_campaign=news&utm_source=twitterfeed&utm_medium=twitter
146106,718838179504128000,http://www.npr.org/sections/thetwo-way/2016/04/09/473632387/wyoming-democrats-prep-for-caucuses-with-hopes-for-high-turnout?utm_medium=RSS&utm_campaign=us&utm_source=twitterfeed&utm_medium=twitter
73537,716210216669474816,http://www.npr.org/templates/story/story.php?storyId=472740898&utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social
797459,703329006104375296,http://www.politico.com/blogs/2016-gop-primary-live-updates-and-results/2016/02/chris-christie-endorsement-donald-trump-shouldnt-be-president-219864
276774,723185237522436098,http://www.politico.com/magazine/story/2016/04/the-medias-trump-mirage-213834
663408,695596639935975424,http://www.politico.com/story/2016/02/democratic-debate-2016-top-moments-218780
791729,702450631009763328,http://www.politico.com/story/2016/02/nevada-gop-caucus-2016-219685
813193,701767757126361088,http://www.politico.com/story/2016/02/senate-judiciary-gop-supreme-court-219485
1294139,704461167331295232,http://www.politico.com/story/2016/02/trump-tweets-interesting-mussolini-quote-219932
910694,703311188436717568,http://www.seattletimes.com/nation-world/nation-politics/thursdays-gop-debate-drew-14-5-million-on-cnn-and-telemundo/?utm_source=RSS
1132241,692055404642222080,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2015%2F12%2F30%2Fbusiness%2Feconomy%2Ffor-the-wealthiest-private-tax-system-saves-them-billions.html%3F_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
1156260,685208014132002817,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F01%2F07%2Fopinion%2Fcampaign-stops%2Fhow-donald-trump-loses.html%3Fsmid%3Dtw-share%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
1006778,689449580316856320,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F01%2F19%2Fopinion%2Ftime-for-a-republican-conspiracy.html%3Fsmprod%3Dnytcore-iphone%26smid%3Dnytcore-iphone-share%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
1034103,689275727615782912,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F01%2F19%2Fus%2Fpolitics%2Fboots-marco-rubio-wants-to-talk-guns-and-football.html%3Fpartner%3Drss%26emc%3Drss%26smid%3Dtw-nytimes%26smtyp%3Dcur%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
934028,689865695073558529,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F01%2F21%2Fus%2Fpolitics%2Fas-supreme-court-clerk-ted-cruz-made-death-penalty-his-cause.html%3Fsmid%3Dtw-share%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
1674442,712278262194393089,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F01%2F28%2Fworld%2Feurope%2Ftrump-finds-new-city-to-insult-brussels.html%3F_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
410473,700769109902909440,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F02%2F19%2Fupshot%2Fwhy-left-of-center-wonks-are-skeptical-of-bernie-sanders.html%3Fsmid%3Dtw-share%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
780693,703602178737328129,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F02%2F28%2Fus%2Fpolitics%2Fdonald-trump-republican-party.html%3F_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
1655474,711851451329462277,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F03%2F21%2Fbusiness%2Fmedia%2Fthe-mutual-dependence-of-trump-and-the-news-media.html%3Fpartner%3DIFTTT%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
294870,724259994120687621,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F04%2F25%2Fus%2Fpolitics%2Fclinton-cant-rely-on-trumps-unpopularity.html%3Fpartner%3DIFTTT%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
223059,725425079761440768,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F04%2F28%2Fus%2Fpolitics%2Fdonald-trump-foreign-policy-speech.html%3F_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
274988,725855441436205056,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F04%2F29%2Fus%2Fpolitics%2Fout-of-office-ex-speaker-john-boehner-gleefully-releases-mute-button.html%3Fsmid%3Dtw-nytimes%26smtyp%3Dcur%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
1324482,704955017204273152,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2Finteractive%2F2016%2F03%2F02%2Fus%2Felections%2Fimportant-voting-blocs-republican-candidates.html%3F_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
