author,follower_ct,friends_count,favourites_count,verified
2887967069,1408,1786,2502,False
220582239,2443,26,0,False
3412326753,3633,3028,311,False
467726691,13985,654,32928,False
3889387876,2,0,0,False
35402085,48463,1328,777,False
364540263,154,943,52,False
74353000,465,165,11,False
86129724,97743,1929,3306,True
14774634,991,2282,997,False
1404360181,12353,3489,179,False
56205676,17,39,0,False
4664404333,,,,
973554031,1016,1826,0,False
135975280,2514,3089,1090,False
3241726321,8023,7301,1660,False
2884903283,3749,3050,19,False
849342841,3211,2934,5166,False
3890143611,1,0,0,False
249880957,1047,5000,423,False
23816574,407,386,24,False
27404671,30819,314,546,False
66050432,927,4359,66,False
4729317440,,,,
2600503818,43,12,0,False
22313347,5730,2427,3635,True
720896389,9136,8903,1571,False
48122327,917,275,13547,False
398862727,44,144,1,False
2754165128,54,1,0,False
16261513,7310,1657,628,True
198646850,,,,
1595007374,58,698,0,False
394811791,3074,3358,281,False
860629392,925,2399,3725,False
11188632,3210,3102,1148,False
241983890,4241,86,4,False
4066232723,558,40,0,False
4704468684,69,103,2,False
2922367381,119855,113658,2,False
8442262,608,379,46,False
23345560,1383,2018,30787,False
1214306713,9,188,4,False
485018010,3409,494,1546,False
110226860,725,1090,566,False
16953756,5551,1635,6,False
246667561,5408,4429,476,False
2458112414,3533,31,0,False
54065567,18208,7686,56477,False
930808560,5448,5077,62456,False
3317219751,945,916,47,False
121010601,459,912,19,False
36741547,14095,9075,97,False
118886828,,,,
87046573,241,1,32,False
90083759,459,90,18,False
17351088,1177,990,16,False
2504417352,914,1290,1444,False
709198227384324096,20,40,0,False
211300788,342,76,22,False
42119605,3891,788,66,False
27003847,2868,2464,4559,False
3313985975,11650,10277,15584,False
215369871,1542,273,0,False
109854452,11867,10316,53020,False
285434613,7433,7350,2367,False
1475717568,33339,93,25,False
26520992,409,717,7,False
3428100550,2112,2159,18479,False
55232967,1123,0,1,False
4068336072,577,41,0,False
208155240,185109,1038,471,True
14241527,2125,2689,18953,False
4900202957,62,1,4,False
42826190,1490,0,0,False
1595001296,66,764,0,False
716905889,4372,4856,1503,False
77489718,264,403,668,False
218726867,2955,3271,2151,False
973547988,,,,
63564245,2198,2141,1176,False
56109526,3546,3700,19,False
50858455,454,872,179,False
2455802329,144,451,4,False
42828250,3908,1494,0,False
3131253213,3445,4144,5636,False
2308748665,238,0,0,False
3340634592,,,,
27120098,2105,2603,2497,False
2968472037,616,505,4723,False
3024468454,,,,
16980455,926,577,3094,False
30833130,657,22,6,False
16311797,92951,232,839,True
1218583021,3427,3057,43,False
14549486,959,2097,644,False
242674159,1107,2157,46,False
92801520,473,1137,3587,False
3507624377,1278,722,411,False
2259749833,,,,
598319603,2134,2375,5944,False
817652,8991,4,1,False
2860970485,10,11,0,False
36442614,6179,1021,614,True
15300388,51179,9852,72,False
1866050042,2928,672,1005,False
177355259,786,1096,1,False
479562736,64652,49157,337,False
618840573,14212,9241,670,False
77032777,11996,1661,350,True
27759798,17811,1612,3,False
103121408,1285,463,0,False
18451200,53410,128,1,False
226299307,37,39,4,False
1494835716,60242,60035,2433,False
55040518,35,32,1,False
223279873,466,2360,1174,False
41186732,17427,8024,6183,False
437838346,1585,1792,10539,True
21043723,13080,8519,95323,False
10416652,66,80,41,False
118776333,1721,1610,0,False
2288462990,31822,1569,194659,False
121594383,817,1785,15274,False
38976017,452015,452488,720,False
176929299,163,304,13,False
18123284,1699,822,2250,False
635730453,22,120,0,False
111919616,5794,21,1,False
278370845,1095,6,0,False
225905183,657,1391,198,False
1703495640,722,1128,0,False
2344022562,924,673,143,False
41929478,11048,8850,75,False
18453030,1295,275,80,False
178491943,3205,3213,131,False
19163689,8599,8848,453,False
993862188,209,1934,8,False
14529929,479075,4723,4248,True
4714508847,331,566,73,False
50094643,186178,158997,8291,False
2857124404,137,123,68,False
3710943797,1562,2629,19,False
711881270,1711,2029,429,False
104321794,478,1299,183,False
59331128,37701,3593,4441,True
205425209,19830,281,10630,False
47739450,167837,1016,3,True
476202079,1403,1387,0,False
4916107837,782,94,3,False
3089064510,6628,435,1851,False
17399221,7731,7076,32,False
341674560,778,687,5798,False
1214310979,16,213,4,False
3196826180,2467,4989,50861,False
16184358,1399676,918,277,True
216068678,366,252,0,False
35402311,1548,1729,3,False
1214267976,11,192,4,False
109056356,957,1374,0,False
480500298,8006,7548,13654,False
19191223,90,75,10,False
113853004,1113,1529,0,False
420385890,733,405,2,False
210205453,778,502,11,False
1214308945,17,150,0,False
74771026,2487,2792,1477,False
1554254419,33,121,0,False
4437482068,16,6,5,False
3098359566,4,0,0,False
3114322432,3692,84,5,False
17936825,626,152,1,False
4390615642,,,,
2242439771,504,3,28,False
8235612,39599,37015,16755,False
3484664416,48,0,0,False
309213767,26,0,0,False
2549934690,378,20,5220,False
3025764963,347,26,0,False
2920073828,,,,
125774437,1137,1927,110,False
131691112,5781,3779,2,False
2281396327,942,1456,662,False
15809298,1299,1101,5097,False
24733117,453102,384441,163,False
22071920,924,2078,2014,False
213711475,3641,3359,191,False
865209350,271,23,61,False
3772895061,5659,6032,9488,False
16030327,1925,1458,820,False
86319736,1531,2013,11,False
74672763,7600,7305,21234,False
32649852,632,1249,1825,False
3064375061,463,1378,14,False
955736706,1465,429,0,False
988156549,12419,617,494,False
578822790,4481,3396,45,False
56413858,352517,414,0,True
400632457,1505,2209,0,False
3824278154,4539,4999,45237,False
2892806795,415,502,12,False
3296504462,12264,10982,10958,False
2415053456,30705,382,22,True
34310801,166478,926,1005,True
17535634,986,883,12,False
30438510,2693,64,3,False
274258582,92,175,28,False
283191960,950,867,48,False
3462931097,172,0,0,False
2937854619,1292,1471,5148,False
829735580,92184,80167,3522,False
4842961565,155,0,13,False
4482362015,1340,1297,133,False
